Station;year;month;day;601;pc
3427050;2015;11;19;0;24
3427050;2015;11;20;0;24
3427050;2015;11;21;0;24
3427050;2015;11;22;1,1;24
3427050;2015;11;23;9,5;24
3427050;2015;11;24;27,3;24
3427050;2015;11;25;0;24
3427050;2015;11;26;0;24
3427050;2015;11;27;0;24
3427050;2015;11;28;0;24
3427050;2015;11;29;0;24
3427050;2015;11;30;0;24
3427050;2015;12;1;0;24
3427050;2015;12;2;0;24
3427050;2015;12;3;0;24
3427050;2015;12;4;0;24
3427050;2015;12;5;0;24
3427050;2015;12;6;0;24
3427050;2015;12;7;0;24
3427050;2015;12;8;0;24
3427050;2015;12;9;0;24
3427050;2015;12;10;0;24
3427050;2015;12;11;0;24
3427050;2015;12;12;7,4;24
3427050;2015;12;13;10,8;24
3427050;2015;12;14;14,6;24
3427050;2015;12;15;0,5;24
3427050;2015;12;16;0;24
3427050;2015;12;17;0,1;24
3427050;2015;12;18;1,8;24
3427050;2015;12;19;0,2;24
3427050;2015;12;20;0;24
3427050;2015;12;21;1,1;24
3427050;2015;12;22;0;24
3427050;2015;12;23;0;24
3427050;2015;12;24;0;24
3427050;2015;12;25;0;24
3427050;2015;12;26;0;24
3427050;2015;12;27;0;24
3427050;2015;12;28;0;24
3427050;2015;12;29;0;24
3427050;2015;12;30;0;24
3427050;2015;12;31;0;24
3427050;2016;1;1;0,8;24
3427050;2016;1;2;0;24
3427050;2016;1;3;3,7;24
3427050;2016;1;4;3,6;24
3427050;2016;1;5;0;24
3427050;2016;1;6;0;24
3427050;2016;1;7;0;24
3427050;2016;1;8;0;24
3427050;2016;1;9;0;24
3427050;2016;1;10;0;24
3427050;2016;1;11;0;24
3427050;2016;1;12;0;24
3427050;2016;1;13;0;24
3427050;2016;1;14;0;24
3427050;2016;1;15;0;24
3427050;2016;1;16;0;24
3427050;2016;1;17;0;24
3427050;2016;1;18;0;24
3427050;2016;1;19;0;24
3427050;2016;1;20;0;24
3427050;2016;1;21;0;24
3427050;2016;1;22;0;24
3427050;2016;1;23;0;24
3427050;2016;1;24;0,4;24
3427050;2016;1;25;0;24
3427050;2016;1;26;0;24
